Model;PyTorch;TorchScript (Python);TorchScript (C++);TensorRT (Python);TensorRT (C++)
alexnet;1.23;1.19;1.04;0.58;0.60
densenet121;19.79;19.45;13.34;3.73;3.67
densenet161;29.43;30.32;20.70;7.99;7.40
densenet169;28.47;30.06;20.11;8.17;7.32
densenet201;33.48;36.21;22.70;12.24;10.96
mnasnet0_5;5.45;4.65;3.67;0.64;0.61
mnasnet1_0;5.66;4.62;3.95;0.80;0.80
mobilenet_v2;6.19;5.63;4.02;0.77;0.76
mobilenet_v3_large;8.07;6.71;5.18;0.98;0.91
mobilenet_v3_small;6.37;5.66;4.19;0.74;0.67
resnet101;15.80;12.76;10.81;3.12;3.18
resnet152;23.66;19.08;16.37;4.57;4.57
resnet18;3.39;2.69;2.30;1.08;1.04
resnet34;6.11;4.83;4.11;1.84;1.79
resnet50;7.99;6.42;5.47;1.75;1.75
resnext101_32x8d;21.69;18.82;16.66;8.06;8.11
resnext50_32x4d;6.45;5.10;4.41;2.13;2.08
shufflenet_v2_x0_5;6.33;5.12;4.01;0.47;0.49
shufflenet_v2_x1_0;6.84;5.59;4.44;0.88;0.86
squeezenet1_0;3.05;2.95;2.33;0.41;0.42
squeezenet1_1;3.03;2.79;2.31;0.31;0.31
vgg11;1.91;1.81;1.84;1.74;1.75
vgg11_bn;2.37;2.09;1.96;1.75;1.75
vgg13;2.26;2.21;2.27;2.16;2.15
vgg13_bn;2.62;2.42;2.43;2.14;2.17
vgg16;2.82;2.79;2.88;2.64;2.61
vgg16_bn;3.23;3.03;3.06;2.61;2.65
vgg19;3.29;3.36;3.40;3.17;3.14
vgg19_bn;3.72;3.60;3.64;3.07;3.13
wide_resnet101_2;15.50;12.32;10.55;5.58;5.45
wide_resnet50_2;7.88;6.66;5.35;2.83;2.95
